  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   106       2   1.28544412e-06   9.88122119e-04
   107       1   6.48765813e-02   2.16881964e-03
   107       2   1.37756898e-06   9.28933365e-04
   108       1   1.13820612e-01   3.86210129e-03
   108       2   1.21033059e-06   1.15124458e-03
   109       1   1.35305860e-01   9.25064918e-03
   109       2   1.37678264e-06   8.88390885e-04
   110       1   1.48186211e-01   1.24757594e-02
   110       2   3.85357886e-07   7.06251877e-04
   111       1   1.56746384e-01   1.50322909e-02
   111       2   8.91667683e-07   9.64588371e-04
   112       1   1.58917023e-01   1.97016585e-02
   112       2   1.02993712e-06   9.39202068e-04
   113       1   1.50688842e-01   2.43677094e-02
   113       2   2.28677579e-07   8.49468958e-04
   114       1   1.43692123e-01   2.65865957e-02
   114       2   3.06335345e-07   8.59323720e-04
   115       1   1.37164815e-01   2.94315529e-02
   115       2   1.24497505e-07   6.52284951e-04
   116       1   1.25709196e-01   3.34984733e-02
   116       2   9.10458619e-08   4.31265742e-04
   117       1   1.12737506e-01   3.51588810e-02
   117       2   1.58977649e-07   5.39619616e-04
   118       1   1.03677803e-01   3.48953047e-02
   118       2   8.96323692e-08   1.87120371e-04
   119       1   9.55609004e-02   3.61730094e-02
   119       2   8.96333689e-08   2.15961647e-04
   120       1   8.59345960e-02   3.73972556e-02
   120       2   3.27469234e-08   1.32910257e-04
   121       1   7.77948338e-02   3.61238033e-02
   121       2   1.76007915e-07   2.85395146e-04
   122       1   7.20968952e-02   3.50596582e-02
   122       2   7.69856695e-08   5.48445098e-04
   123       1   6.52320921e-02   3.56861905e-02
   123       2   9.44745158e-08   6.04178200e-04
   124       1   5.71513559e-02   3.46121173e-02
   124       2   4.22165773e-08   9.86334557e-05
   125       1   5.02274779e-02   3.14660724e-02
   125       2   2.35891602e-08   3.28730419e-04
   126       1   4.39570089e-02   2.94671718e-02
   126       2   1.77559528e-07   7.31417669e-04
   127       1   3.60747488e-02   2.77287796e-02
   127       2   4.55054862e-08   1.75331602e-04
   128       1   2.90992921e-02   2.34036306e-02
   128       2   7.09648132e-08   2.87873730e-04
   129       1   2.36468132e-02   1.89738389e-02
   129       2   6.24338518e-08   4.88547063e-04
   130       1   1.80793380e-02   1.64154312e-02
   130       2   1.11696303e-07   5.75321402e-04
   131       1   1.16749184e-02   1.31019137e-02
   131       2   7.64273387e-08   1.40824757e-04
   132       1   6.50525770e-03   8.13381158e-03
   132       2   1.74141045e-07   3.31418864e-04
   133       1   4.78205289e-03   4.59187526e-03
   134       1   6.08524718e-03   3.15096041e-03
   134       2   1.04262624e-06   2.31537006e-03
   135       1   1.27653711e-02   3.49099923e-03
   135       2   7.87323398e-08   4.13214378e-04
   136       1   1.84690782e-02   8.98186530e-03
   136       2   8.19495693e-08   2.86082037e-04
   137       1   2.47072869e-02   1.19194984e-02
   137       2   8.76095141e-08   3.32464197e-04
   138       1   3.20915952e-02   1.52045187e-02
   138       2   8.53395536e-08   3.24583745e-04
   139       1   3.82245963e-02   2.01990334e-02
   139       2   5.95701639e-08   2.45726486e-04
   140       1   4.30663456e-02   2.35744701e-02
   140       2   5.06069984e-08   6.56296200e-04
   141       1   4.92818486e-02   2.48673039e-02
   141       2   2.07477023e-08   3.72346309e-04
   142       1   5.70228521e-02   2.74002085e-02
   142       2   6.75898115e-08   1.63801067e-04
   143       1   6.33221260e-02   3.07196643e-02
   143       2   2.20574002e-07   3.60555973e-04
   144       1   7.02103475e-02   3.17382680e-02
   144       2   8.14722407e-08   5.55577765e-04
   145       1   7.96318503e-02   3.23304035e-02
   145       2   7.53468976e-08   4.15842471e-04
   146       1   8.91959395e-02   3.46788720e-02
   146       2   7.56810241e-08   5.34291848e-04
   147       1   9.58438928e-02   3.61250995e-02
   147       2   2.39334018e-07   7.68067055e-04
   148       1   1.03204887e-01   3.50042369e-02
   148       2   1.03292784e-07   7.38127351e-04
   149       1   1.12189086e-01   3.43010587e-02
   149       2   9.79152585e-08   5.18056638e-04
   150       1   1.17356841e-01   3.43618009e-02
   150       2   1.78314887e-07   3.19491337e-04
   151       1   1.20969198e-01   3.21676732e-02
   151       2   1.94848461e-07   3.08107143e-04
   152       1   1.26922379e-01   2.89040525e-02
   152       2   2.21405968e-07   1.74095993e-04
   153       1   1.33022237e-01   2.73013566e-02
   153       2   1.82287800e-07   1.84212665e-04
   154       1   1.30530292e-01   2.57263839e-02
   154       2   1.51175157e-07   2.04967848e-04
   155       1   1.26585821e-01   2.20210672e-02
   155       2   3.45906980e-07   2.14403820e-04
   156       1   1.21146547e-01   1.87648438e-02
   156       2   1.57229905e-07   2.27831734e-04
   157       1   9.98071469e-02   1.67291048e-02
   157       2   2.61783438e-07   2.24004762e-04
   158       1   6.37560698e-02   1.29377636e-02
   158       2   6.14591051e-07   4.98353247e-04
   159       1   2.98119894e-02   7.68352742e-03
   159       2   8.61535778e-07   4.91398103e-04
   160       1   2.46043249e-02   3.91687529e-03
   160       2   5.43577371e-07   8.36351267e-04
   161       1   4.78498386e-02   1.86264223e-03
   161       2   4.84524152e-07   9.76349773e-04
   162       1   7.42800265e-02   4.99865307e-03
   162       2   5.51765065e-07   7.48970227e-04
   163       1   8.63561810e-02   9.22055532e-03
   163       2   1.69052327e-07   6.71386591e-04
   164       1   9.94496722e-02   1.12703530e-02
   164       2   3.85977561e-07   8.09033044e-04
   165       1   1.10632716e-01   1.41896535e-02
   165       2   8.92864405e-08   6.47516908e-04
   166       1   1.13219017e-01   1.85081435e-02
   166       2   1.20775515e-07   4.22024470e-04
   167       1   1.12127386e-01   2.13107656e-02
   167       2   2.02149476e-07   7.13412323e-04
   168       1   1.12010780e-01   2.31564003e-02
   168       2   1.15708554e-07   7.57071970e-04
   169       1   1.09980574e-01   2.65312657e-02
   169       2   1.78961606e-07   3.66319883e-04
   170       1   1.01958447e-01   2.97719144e-02
   170       2   4.80997493e-08   3.93849396e-04
   171       1   9.44795156e-02   3.04034943e-02
   171       2   4.41730529e-08   6.36587338e-04
   172       1   8.85273061e-02   3.08995827e-02
   172       2   5.49533553e-08   2.04454963e-04
   173       1   8.12951391e-02   3.24493449e-02
   173       2   3.46938189e-08   2.52916970e-04
   174       1   7.33858841e-02   3.24800302e-02
