  TimeWindow  TotalIterations  Iterations  Convergence
   777    1554       2       1
   778    1556       2       1
   779    1558       2       1
   780    1560       2       1
   781    1562       2       1
   782    1564       2       1
   783    1566       2       1
   784    1568       2       1
   785    1570       2       1
   786    1572       2       1
   787    1574       2       1
   788    1576       2       1
   789    1578       2       1
   790    1580       2       1
   791    1582       2       1
   792    1584       2       1
   793    1586       2       1
   794    1588       2       1
   795    1590       2       1
   796    1592       2       1
   797    1594       2       1
   798    1596       2       1
   799    1598       2       1
   800    1600       2       1
   801    1601       1       1
   802    1603       2       1
   803    1605       2       1
   804    1607       2       1
   805    1609       2       1
   806    1611       2       1
   807    1613       2       1
   808    1615       2       1
   809    1617       2       1
   810    1619       2       1
   811    1621       2       1
   812    1623       2       1
   813    1625       2       1
   814    1627       2       1
   815    1629       2       1
   816    1631       2       1
   817    1633       2       1
   818    1635       2       1
   819    1637       2       1
   820    1639       2       1
   821    1641       2       1
   822    1643       2       1
   823    1645       2       1
   824    1647       2       1
   825    1649       2       1
   826    1651       2       1
   827    1653       2       1
   828    1655       2       1
   829    1657       2       1
   830    1659       2       1
   831    1661       2       1
   832    1663       2       1
   833    1665       2       1
   834    1667       2       1
   835    1669       2       1
   836    1671       2       1
   837    1673       2       1
   838    1675       2       1
   839    1677       2       1
   840    1679       2       1
   841    1681       2       1
   842    1683       2       1
   843    1685       2       1
   844    1687       2       1
   845    1689       2       1
   846    1691       2       1
   847    1693       2       1
   848    1695       2       1
   849    1697       2       1
   850    1699       2       1
   851    1701       2       1
   852    1703       2       1
   853    1705       2       1
   854    1707       2       1
   855    1709       2       1
   856    1711       2       1
   857    1713       2       1
   858    1715       2       1
   859    1717       2       1
   860    1719       2       1
   861    1721       2       1
   862    1723       2       1
   863    1725       2       1
   864    1727       2       1
   865    1729       2       1
   866    1731       2       1
   867    1733       2       1
   868    1735       2       1
   869    1737       2       1
   870    1739       2       1
   871    1741       2       1
   872    1743       2       1
   873    1745       2       1
   874    1747       2       1
   875    1749       2       1
   876    1751       2       1
   877    1753       2       1
   878    1755       2       1
   879    1757       2       1
   880    1759       2       1
   881    1761       2       1
   882    1762       1       1
   883    1766       4       1
   884    1767       1       1
   885    1770       3       1
   886    1772       2       1
   887    1774       2       1
   888    1776       2       1
   889    1778       2       1
   890    1780       2       1
   891    1782       2       1
   892    1784       2       1
   893    1786       2       1
   894    1788       2       1
   895    1790       2       1
   896    1792       2       1
   897    1794       2       1
   898    1796       2       1
   899    1798       2       1
   900    1800       2       1
   901    1802       2       1
   902    1804       2       1
   903    1806       2       1
   904    1808       2       1
   905    1810       2       1
   906    1812       2       1
   907    1814       2       1
   908    1816       2       1
   909    1818       2       1
   910    1820       2       1
   911    1822       2       1
   912    1824       2       1
   913    1826       2       1
   914    1828       2       1
   915    1830       2       1
   916    1832       2       1
   917    1834       2       1
   918    1836       2       1
   919    1838       2       1
   920    1840       2       1
   921    1842       2       1
   922    1844       2       1
   923    1846       2       1
   924    1848       2       1
   925    1850       2       1
   926    1852       2       1
   927    1854       2       1
   928    1856       2       1
   929    1858       2       1
   930    1860       2       1
   931    1862       2       1
   932    1864       2       1
   933    1866       2       1
   934    1868       2       1
   935    1870       2       1
   936    1872       2       1
   937    1874       2       1
   938    1876       2       1
   939    1878       2       1
   940    1880       2       1
   941    1882       2       1
   942    1884       2       1
   943    1886       2       1
   944    1888       2       1
   945    1890       2       1
   946    1892       2       1
   947    1894       2       1
   948    1896       2       1
   949    1898       2       1
   950    1900       2       1
   951    1902       2       1
   952    1904       2       1
   953    1906       2       1
   954    1908       2       1
   955    1910       2       1
   956    1912       2       1
   957    1914       2       1
   958    1916       2       1
   959    1918       2       1
   960    1920       2       1
   961    1922       2       1
   962    1924       2       1
   963    1926       2       1
   964    1928       2       1
   965    1930       2       1
   966    1932       2       1
   967    1934       2       1
   968    1936       2       1
   969    1938       2       1
   970    1940       2       1
   971    1942       2       1
   972    1944       2       1
   973    1946       2       1
   974    1948       2       1
   975    1950       2       1
   976    1952       2       1
   977    1954       2       1
   978    1956       2       1
   979    1958       2       1
   980    1960       2       1
   981    1962       2       1
   982    1964       2       1
   983    1966       2       1
   984    1968       2       1
   985    1970       2       1
   986    1972       2       1
   987    1974       2       1
   988    1976       2       1
   989    1978       2       1
   990    1980       2       1
   991    1982       2       1
   992    1984       2       1
   993    1986       2       1
   994    1988       2       1
   995    1990       2       1
   996    1992       2       1
   997    1994       2       1
   998    1996       2       1
   999    1998       2       1
  1000    2000       2       1
