  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   194       1   3.64794196e-02   1.24007414e-01
   194       2   7.30560228e-08   1.02394133e-03
   195       1   3.52936369e-02   1.23936950e-01
   195       2   5.89778378e-08   8.73485526e-04
   196       1   3.36828535e-02   1.21832527e-01
   196       2   4.86103840e-08   7.03584338e-04
   197       1   3.19350668e-02   1.17545941e-01
   197       2   3.05970394e-08   6.89396636e-04
   198       1   3.04147191e-02   1.11472547e-01
   198       2   4.49182933e-08   7.30424482e-04
   199       1   2.92621635e-02   1.04677680e-01
   199       2   4.84224045e-08   6.97886261e-04
   200       1   2.83869430e-02   9.86561218e-02
   200       2   2.26512871e-08   7.49933667e-04
   201       1   2.76356277e-02   9.45820921e-02
   201       2   3.95569060e-08   9.33677407e-04
   202       1   2.69613971e-02   9.29639736e-02
   202       2   3.26983080e-08   1.23495226e-03
   203       1   2.64192084e-02   9.33976098e-02
   203       2   3.83536090e-08   1.45326074e-03
   204       1   2.59795882e-02   9.45525165e-02
   204       2   7.88182402e-08   1.48000487e-03
   205       1   2.54473199e-02   9.46382219e-02
   205       2   2.56523415e-08   1.30702917e-03
   206       1   2.46025223e-02   9.24116539e-02
   206       2   6.68373452e-08   9.97101932e-04
   207       1   2.33660772e-02   8.80578459e-02
   207       2   3.34539847e-08   7.95332765e-04
   208       1   2.18505523e-02   8.28384747e-02
   208       2   2.48148621e-08   7.61972498e-04
   209       1   2.02910494e-02   7.81177461e-02
   209       2   3.49921181e-08   7.71776801e-04
   210       1   1.88817286e-02   7.46248951e-02
   210       2   2.36316987e-08   8.35832659e-04
   211       1   1.76751467e-02   7.25796023e-02
   211       2   3.59521176e-08   9.55156452e-04
   212       1   1.66572791e-02   7.21417332e-02
   212       2   1.91320998e-08   1.07745726e-03
   213       1   1.58131650e-02   7.35052347e-02
   213       2   5.51196290e-08   1.20665934e-03
   214       1   1.50711901e-02   7.64272424e-02
   214       2   1.67177926e-08   1.26560156e-03
   215       1   1.43093287e-02   7.98042233e-02
   215       2   2.07196454e-08   1.22297857e-03
   216       1   1.34460271e-02   8.19714928e-02
   216       2   2.36154390e-08   9.35148726e-04
   217       1   1.24726400e-02   8.14495654e-02
   217       2   3.18867709e-08   5.27513436e-04
   218       1   1.14582620e-02   7.76810354e-02
   218       2   6.04180211e-08   2.07402562e-04
   219       1   1.05253244e-02   7.12656646e-02
   219       2   3.62102755e-08   3.28028044e-04
   220       1   9.73947212e-03   6.38399279e-02
   220       2   8.36031016e-08   3.55654935e-04
   221       1   9.03801837e-03   5.73076317e-02
   221       2   3.64495166e-08   4.95667585e-04
   222       1   8.30016652e-03   5.27718013e-02
   222       2   2.06370482e-08   5.00088112e-04
   223       1   7.48499704e-03   4.99909920e-02
   223       2   4.20063843e-08   5.81280346e-04
   224       1   6.72892068e-03   4.77684224e-02
   224       2   6.27100109e-08   3.76002161e-04
   225       1   6.23830062e-03   4.49209394e-02
   225       2   2.26725187e-08   3.66195634e-04
   226       1   5.95279591e-03   4.09106287e-02
   226       2   4.12720987e-08   3.45775641e-04
   227       1   5.52814798e-03   3.56073097e-02
   227       2   2.67622115e-08   5.19333314e-04
   228       1   4.77035378e-03   2.87247517e-02
   228       2   2.29807092e-08   3.96945760e-04
   229       1   3.87772984e-03   2.00550613e-02
   229       2   1.48523164e-08   3.73524116e-04
   230       1   3.29864375e-03   1.07826478e-02
   230       2   1.70521408e-08   5.38413900e-04
   231       1   3.25732357e-03   8.59133424e-03
   231       2   1.62687540e-08   4.85431490e-04
   232       1   3.42596217e-03   1.56721461e-02
   232       2   1.90880785e-08   2.78384115e-04
   233       1   3.42524056e-03   2.13927601e-02
   233       2   5.89074415e-09   3.83909995e-04
   234       1   3.26801559e-03   2.33876251e-02
   234       2   3.87757125e-08   5.17986294e-04
   235       1   3.26849255e-03   2.23700628e-02
   235       2   3.34708565e-08   5.39752778e-04
   236       1   3.55286401e-03   2.04715492e-02
   236       2   1.25428361e-08   3.98455058e-04
   237       1   3.87504005e-03   1.98961452e-02
   237       2   1.25890544e-08   2.36359052e-04
   238       1   4.02325481e-03   2.15657553e-02
   238       2   3.06359547e-08   3.51942102e-04
   239       1   4.14112618e-03   2.51137795e-02
   239       2   3.29694914e-08   4.92560645e-04
   240       1   4.70759865e-03   2.96387798e-02
   240       2   3.11320562e-08   4.91963026e-04
   241       1   5.90986429e-03   3.42551735e-02
   241       2   2.14479564e-08   5.07981459e-04
   242       1   7.32931514e-03   3.84576081e-02
   242       2   1.70173564e-08   4.96569522e-04
   243       1   8.50875470e-03   4.18356020e-02
   243       2   9.75206683e-09   4.40196417e-04
   244       1   9.31802311e-03   4.38387535e-02
   244       2   1.71489312e-08   3.42897591e-04
   245       1   9.91733083e-03   4.40972867e-02
   245       2   3.62579883e-09   2.67549336e-04
   246       1   1.05391738e-02   4.30334180e-02
   246       2   1.52377797e-08   3.68875042e-04
   247       1   1.12814262e-02   4.19995492e-02
   247       2   6.06222004e-09   5.80053491e-04
   248       1   1.20675355e-02   4.25805774e-02
   248       2   1.36066675e-08   8.47169131e-04
   249       1   1.27920673e-02   4.58291509e-02
   249       2   1.02509602e-08   1.09213021e-03
   250       1   1.34813026e-02   5.20771495e-02
   250       2   1.36306238e-08   1.22712843e-03
   251       1   1.42617288e-02   6.09397415e-02
   251       2   1.47617478e-08   1.23932793e-03
   252       1   1.51754376e-02   7.09670223e-02
   252       2   1.83594145e-08   1.00786268e-03
   253       1   1.60905753e-02   8.02688748e-02
   253       2   1.25111937e-08   5.48454501e-04
   254       1   1.68028326e-02   8.74217488e-02
   254       2   1.69442787e-08   3.09685581e-04
   255       1   1.72235503e-02   9.21250355e-02
   255       2   2.55511483e-08   1.72348357e-04
   256       1   1.74916613e-02   9.50636034e-02
   256       2   2.71811241e-08   1.89676521e-04
   257       1   1.78625652e-02   9.72604090e-02
   257       2   2.54658410e-08   1.79814561e-04
   258       1   1.84666809e-02   9.94632442e-02
   258       2   1.59339475e-08   2.00546809e-04
   259       1   1.92566872e-02   1.02125016e-01
   259       2   8.83602797e-09   1.85271428e-04
   260       1   2.01666052e-02   1.05704035e-01
   260       2   2.14953944e-08   1.17916434e-04
   261       1   2.11933713e-02   1.10657621e-01
   261       2   3.24145208e-08   2.95957621e-04
   262       1   2.23365214e-02   1.16885352e-01
   262       2   2.53828254e-08   4.06643094e-04
   263       1   2.35389561e-02   1.23182419e-01
   263       2   1.73402888e-08   3.90584684e-04
   264       1   2.46990760e-02   1.27555056e-01
   264       2   1.53810657e-08   5.15417353e-04
   265       1   2.57404105e-02   1.28297474e-01
   265       2   2.61471792e-08   6.61008499e-04
   266       1   2.66715778e-02   1.25064524e-01
   266       2   1.95130343e-08   7.36845930e-04
   267       1   2.75648811e-02   1.19052174e-01
   267       2   1.83181704e-08   6.86219566e-04
   268       1   2.85016657e-02   1.12332675e-01
   268       2   2.11126930e-08   6.07785905e-04
   269       1   2.95630501e-02   1.06806818e-01
   269       2   1.05414229e-08   4.37435021e-04
   270       1   3.08371422e-02   1.03530398e-01
   270       2   1.44621951e-08   2.13173510e-04
   271       1   3.24201935e-02   1.02597330e-01
   271       2   2.10968595e-08   1.06149752e-04
   272       1   3.43795950e-02   1.03456479e-01
   272       2   1.43956831e-08   9.42448423e-05
   273       1   3.66219530e-02   1.05342203e-01
   273       2   1.78869015e-08   1.85366140e-04
   274       1   3.88213649e-02   1.07600185e-01
   274       2   2.63321417e-08   4.30852039e-04
   275       1   4.05966472e-02   1.09557951e-01
   275       2   2.81260674e-08   6.27199498e-04
   276       1   4.17805090e-02   1.10362022e-01
   276       2   2.50279593e-08   6.48186258e-04
   277       1   4.25105401e-02   1.09314077e-01
   277       2   4.05976481e-08   5.86853009e-04
   278       1   4.30983301e-02   1.06480948e-01
   278       2   1.53597833e-08   5.48060553e-04
   279       1   4.37942501e-02   1.03038309e-01
   279       2   2.85128349e-08   4.24637133e-04
   280       1   4.46384189e-02   1.00786967e-01
   280       2   2.73824114e-08   2.68294431e-04
   281       1   4.55709758e-02   1.01103221e-01
   281       2   1.87196818e-08   2.20871905e-04
   282       1   4.66681624e-02   1.04262715e-01
   282       2   2.46983228e-08   2.71748634e-04
   283       1   4.81530317e-02   1.09397604e-01
   283       2   4.21072024e-08   3.31330242e-04
   284       1   5.01288533e-02   1.14866976e-01
   284       2   4.41034278e-08   3.60404659e-04
   285       1   5.23421347e-02   1.18965948e-01
   285       2   3.34493063e-08   4.91999619e-04
   286       1   5.42568423e-02   1.20555717e-01
   286       2   8.91978036e-08   6.97887089e-04
   287       1   5.54753762e-02   1.19256533e-01
   287       2   4.09154560e-08   8.50606317e-04
   288       1   5.61476419e-02   1.15385069e-01
   288       2   2.73228277e-08   9.24458604e-04
   289       1   5.68327720e-02   1.09670263e-01
   289       2   8.77985403e-08   9.30130337e-04
   290       1   5.79123291e-02   1.03011206e-01
   290       2   1.25291476e-07   8.58439618e-04
   291       1   5.93491440e-02   9.63388488e-02
   291       2   1.35294734e-07   7.32921170e-04
   292       1   6.10298616e-02   9.06165785e-02
   292       2   1.42138332e-07   5.61381758e-04
   293       1   6.30959996e-02   8.65677625e-02
   293       2   6.49615041e-08   3.56231728e-04
   294       1   6.58813350e-02   8.41933031e-02
   294       2   1.07722609e-07   3.48256172e-04
   295       1   6.95236443e-02   8.24934915e-02
   295       2   1.49423652e-07   6.04915182e-04
   296       1   7.36305187e-02   7.98253242e-02
   296       2   1.34577380e-07   8.50437486e-04
   297       1   7.74677912e-02   7.48371706e-02
   297       2   8.35117233e-08   8.76783339e-04
   298       1   8.04882395e-02   6.73295881e-02
   298       2   1.14488497e-07   6.14146178e-04
