  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   139       1   4.89641804e-02   3.18092344e-02
   139       2   5.39342418e-06   1.18350026e-03
   140       1   5.19891888e-02   2.97807225e-02
   140       2   5.14059220e-06   6.89597585e-04
   141       1   5.86019849e-02   3.16699960e-02
   141       2   1.25208382e-05   2.22941156e-03
   142       1   6.76021622e-02   3.65602881e-02
   142       2   3.10751718e-06   7.57192966e-04
   143       1   7.26996978e-02   3.41815093e-02
   143       2   3.00804707e-06   9.35516321e-04
   144       1   8.10244511e-02   3.07170207e-02
   144       2   9.29922672e-06   1.15966564e-03
   145       1   9.55730906e-02   3.42125576e-02
   145       2   2.67280732e-05   4.88928600e-03
   146       1   1.08815312e-01   3.84836510e-02
   146       2   8.28960646e-06   1.71582229e-03
   147       1   1.14909692e-01   3.62305694e-02
   147       2   6.44531160e-06   8.37945333e-04
   148       1   1.21917675e-01   3.52101502e-02
   148       2   1.37324595e-05   9.38691742e-04
   149       1   1.30475117e-01   3.78246992e-02
   149       2   1.98061715e-05   1.27733815e-03
   150       1   1.30194714e-01   3.46613230e-02
   150       2   3.73523642e-05   3.23119022e-03
   151       1   1.33214677e-01   2.63816411e-02
   151       2   2.90776065e-05   2.89502686e-03
   152       1   1.38546681e-01   2.43264683e-02
   152       2   1.10227507e-05   9.47442491e-04
   153       1   1.43380200e-01   2.30143092e-02
   153       2   2.02775542e-05   1.02294055e-03
   154       1   1.37012258e-01   1.76976767e-02
   154       2   4.93894461e-05   3.66543478e-03
   155       1   1.42366023e-01   1.42317699e-02
   155       2   5.06772589e-05   2.26993056e-03
   156       1   1.44593620e-01   1.53900804e-02
   156       2   1.62816637e-05   4.93896956e-04
   157       1   9.33396620e-02   1.35263406e-02
   157       2   8.85086067e-05   3.94893819e-03
   158       1   4.04803190e-02   5.92954832e-03
   158       2   2.86414305e-05   2.37757936e-03
   159       1   5.19291333e-02   3.96329171e-03
   159       2   4.53247898e-05   1.09269893e-03
   160       1   9.21799554e-02   5.62097729e-03
   160       2   1.12423176e-05   1.67523108e-03
   161       1   1.12105644e-01   1.01046459e-02
   161       2   2.72539634e-05   3.30466124e-03
   162       1   1.12727551e-01   1.75845027e-02
   162       2   2.62154013e-05   1.88038113e-03
   163       1   1.08416574e-01   1.72351620e-02
   163       2   1.18180891e-05   1.24182652e-03
   164       1   1.17131209e-01   1.85472421e-02
   164       2   1.27817548e-05   1.29820085e-03
   165       1   1.23781583e-01   2.38472894e-02
   165       2   4.03810451e-05   3.58665141e-03
   166       1   1.18264157e-01   2.48459986e-02
   166       2   1.14078437e-05   8.73195159e-04
   167       1   1.14972697e-01   2.28260362e-02
   167       2   7.56224278e-06   1.06986674e-03
   168       1   1.17101483e-01   2.69593728e-02
   168       2   6.70752969e-06   1.53896017e-03
   169       1   1.14718204e-01   3.34014497e-02
   169       2   7.82834236e-06   1.49008022e-03
   170       1   1.01489816e-01   3.39693084e-02
   170       2   1.57634729e-05   3.10452786e-03
   171       1   9.09324112e-02   3.30388316e-02
   171       2   5.31478435e-06   2.16077390e-03
   172       1   8.33597921e-02   3.69698496e-02
   172       2   1.13254501e-05   1.86573565e-03
   173       1   7.44677013e-02   3.65632952e-02
   173       2   1.20736028e-05   2.24463534e-03
   174       1   6.66101238e-02   3.06351068e-02
   174       2   1.06650237e-05   2.47419673e-03
   175       1   6.16214041e-02   2.86155570e-02
   175       2   1.18499674e-05   2.32302883e-03
   176       1   5.76107397e-02   3.01719721e-02
   176       2   7.06042402e-06   1.53540458e-03
   177       1   5.17217069e-02   2.71117275e-02
   177       2   4.91992835e-06   2.24787570e-03
   178       1   4.69788550e-02   2.39960510e-02
   178       2   5.37594531e-06   1.72086493e-03
   179       1   4.29632401e-02   2.52071170e-02
   179       2   5.23916365e-06   2.22798168e-03
   180       1   3.41437313e-02   2.53616529e-02
   180       2   3.05651390e-06   1.65081092e-03
   181       1   2.49798606e-02   1.85337868e-02
   181       2   3.69668390e-06   3.68395976e-03
   182       1   1.98692197e-02   1.42568329e-02
   182       2   5.69666117e-06   1.53795125e-03
   183       1   1.68251637e-02   1.39931920e-02
   183       2   2.87468995e-06   1.24789020e-03
   184       1   1.07132944e-02   7.23095390e-03
   184       2   5.11135389e-06   2.77780662e-03
   185       1   5.51646093e-03   4.12779553e-03
   185       2   7.64073034e-06   2.54853852e-03
   186       1   5.81897856e-03   3.92510090e-03
   186       2   3.44417063e-06   1.35885392e-03
   187       1   1.16350680e-02   5.19337401e-03
   187       2   5.80834699e-06   1.29937789e-03
   188       1   1.53436040e-02   1.04625516e-02
   188       2   2.57775672e-06   1.90778223e-03
   189       1   1.89582839e-02   1.23558141e-02
   189       2   4.23674725e-06   1.29697159e-03
   190       1   2.42574150e-02   1.13791560e-02
   190       2   1.84533085e-06   6.00081867e-04
   191       1   3.34554513e-02   1.49633501e-02
   191       2   9.66354803e-06   4.41778071e-03
   192       1   4.25403543e-02   2.28945188e-02
   192       2   9.63865596e-06   4.99975534e-03
   193       1   4.57202879e-02   2.57071299e-02
   193       2   1.47737925e-05   1.93684157e-03
   194       1   4.85702370e-02   2.55919919e-02
   194       2   6.70952070e-06   1.16449038e-03
   195       1   5.46931257e-02   2.97446673e-02
   195       2   1.81452980e-05   3.66890809e-03
